Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11828,Library Science,Technology Music Collection,5hrs 17min,ROYALTY FREE Technology Background Music / Science  Presentation Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=6w6Cq3ZNUWk,Module 1: Royalty Free Music for Technology and Science Presentations,1
11829,Library Science,Technology Music Collection,,ROYALTY FREE Explainer Background Music / Explainer Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=4U5ayhdVYiw,Module 1: Royalty Free Music for Technology and Science Presentations,1
11830,Library Science,Technology Music Collection,,ROYALTY FREE Technology Background Music / Tech Corporate Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=Uv4FgV3Hhog,Module 1: Royalty Free Music for Technology and Science Presentations,1
11831,Library Science,Technology Music Collection,,ROYALTY FREE Business Event Music | Corporate Presentation Background Music Royalty Free by 2BStudio,https://www.youtube.com/watch?v=UJqOEoTvEgM,Module 1: Royalty Free Music for Technology and Science Presentations,1
11832,Library Science,Technology Music Collection,,ROYALTY FREE News Intro Music | News Opener Music Royalty Free | Breaking News Music MUSIC4VIDEO,https://www.youtube.com/watch?v=Em1RGP80IHw,Module 2: Royalty Free Explainer and Tutorial Music,2
11833,Library Science,Technology Music Collection,,ROYALTY FREE MUSIC Documentary Film Background Music / Hi-Tech Presentation Background Royalty Free,https://www.youtube.com/watch?v=NMdfgdpjVks,Module 2: Royalty Free Explainer and Tutorial Music,2
11834,Library Science,Technology Music Collection,,ROYALTY FREE Technology Music / Corporate Background Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=fgXLNeSV42g,Module 2: Royalty Free Explainer and Tutorial Music,2
11835,Library Science,Technology Music Collection,,ROYALTY FREE Hi-Tech Music / Ambient Corporate Music Royalty Free / Promo Upbeat Royalty Free Music,https://www.youtube.com/watch?v=lOdv4HjJQOo,Module 3: Royalty Free Corporate and Business Music,3
11836,Library Science,Technology Music Collection,,ROYALTY FREE Hi Tech Presentation Corporate Music Background / Smart Technology Music Royalty Free,https://www.youtube.com/watch?v=rWx2p3SM1f8,Module 3: Royalty Free Corporate and Business Music,3
11837,Library Science,Technology Music Collection,,ROYALTY FREE Inspirational Music Background for Amzaing Travel Video Copyright Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=hVzNq9V7zbw,Module 3: Royalty Free Corporate and Business Music,3
11838,Library Science,Technology Music Collection,,ROYALTY FREE Cinematic Trailer Background Music | Cinematic Trailer Music Royalty Free | MUSIC4VIDEO,https://www.youtube.com/watch?v=ZMHZHPV322c,Module 3: Royalty Free Corporate and Business Music,3
11839,Library Science,Technology Music Collection,,Chill Electronic Ambient Technology Background Music For Science Presentations,https://www.youtube.com/watch?v=0TPKVG5943U,Module 4: Royalty Free News and Cinematic Music,4
11840,Library Science,Technology Music Collection,,ROYALTY FREE Synth Wave Music | Stylish Background Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=LwPcE_jsm4w,Module 4: Royalty Free News and Cinematic Music,4
11841,Library Science,Technology Music Collection,,ROYALTY FREE Ambient Music / Science Technology Abstract Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=GusYzCMs2f4,Module 4: Royalty Free News and Cinematic Music,4
11842,Library Science,Technology Music Collection,,ROYALTY FREE Upbeat & Energetic Sport's Music | Motivational Pop Music for Video by PRIGIDA,https://www.youtube.com/watch?v=rAX2vDrq0r4,Module 5: Royalty Free Ambient and Hi-Tech Music,5
11843,Library Science,Technology Music Collection,,ROYALTY FREE Music for Timelapse / Technology Ambient Royalty Free Music,https://www.youtube.com/watch?v=ceDSOyJ38j0,Module 5: Royalty Free Ambient and Hi-Tech Music,5
11844,Library Science,Technology Music Collection,,ROYALTY FREE Explainer Background Music | Explainer Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=6wkGk5Zp6uQ,Module 5: Royalty Free Ambient and Hi-Tech Music,5
11845,Library Science,Technology Music Collection,,ROYALTY FREE Technology Music / Tech Corporate Background Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=rysmjaaVxRY,Module 6: Royalty Free Music for Travel and Inspiration,6
11846,Library Science,Technology Music Collection,,ROYALTY FREE Technology Background Music | Technology Presentation Music Royalty Free | MUSIC4VIDEO,https://www.youtube.com/watch?v=zGLwtwemwv4,Module 6: Royalty Free Music for Travel and Inspiration,6
11847,Library Science,Technology Music Collection,,ROYALTY FREE Tutorial Music Background / Tutorial Background Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=HEORS_yfifI,Module 6: Royalty Free Music for Travel and Inspiration,6
11848,Library Science,Technology Music Collection,,ROYALTY FREE Documentary Background Music / Nature Landscape Video from Drone DJI Inspire,https://www.youtube.com/watch?v=o7WqVT5VuBg,Module 7: Royalty Free Synthwave and Electronic Music,7
11849,Library Science,Technology Music Collection,,ROYALTY FREE Future Bass Music | Stylish Electronic Royalty Free Music by PRIGIDA,https://www.youtube.com/watch?v=DPIM9LUJwIg,Module 7: Royalty Free Synthwave and Electronic Music,7
11850,Library Science,Technology Music Collection,,ROYALTY FREE Reel Video Background Music | Timelapse Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=TwDNjwz3npo,Module 7: Royalty Free Synthwave and Electronic Music,7
11851,Library Science,Technology Music Collection,,ROYALTY FREE Motion Graphic Background Music | Technology Science Video Background Music by 2BStudio,https://www.youtube.com/watch?v=G11LQ2c7DC0,Module 8: Royalty Free Upbeat and Motivational Music,8
11852,Library Science,Technology Music Collection,,ROYALTY FREE Sports Background Music | Epic Background Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=OD4Cf6ybRVQ,Module 8: Royalty Free Upbeat and Motivational Music,8
11853,Library Science,Technology Music Collection,,ROYALTY FREE Technology Background Music | Science Presentation Music Royalty Free by MUSIC4VIDEO,https://www.youtube.com/watch?v=wzr0yzRhwlw,Module 8: Royalty Free Upbeat and Motivational Music,8
11854,Library Science,Technology Music Collection,,ROYALTY FREE Medical Reel Music / Corporate Background Royalty Free Music by MUSIC4VIDEO,https://www.youtube.com/watch?v=13JQb8InGgY,Module 9: Royalty Free Music for Timelapse and Hyperlapse,9
